Study ID,Title,Form,Reviewer,Status,Intervention,Linked suggestion,Group name,Identification: Sponsorship source,Identification: Country,Identification: Author's name,Identification: Institution,Identification: Journal Name,Identification: Paper Title,Identification: Year of Publication,Identification: Notes,Methods: Please copy in one or more separated by a semi-colon: Lab (experimental); Lab (pilot); Economic Assessment; Environmental Assessment; Simulation or Modeling; Characterization,Methods: Notes,Population: Group differences,Population: Total sample size,Population: Notes,Population Baseline Characteristics: Mean age (years) ± SD,Population Baseline Characteristics: Mean age (years) ± SD (Overall),Intervention Characteristics: Raw Feedstock Concentration,Intervention Characteristics: units1,Intervention Characteristics: Leached REE Concentration,Intervention Characteristics: units2,Interventions: Notes,Reported outcomes in study,Outcomes: Notes,Result data: Notes,Outcome details: Example continuous outcome - Reported name,Outcome details: Example continuous outcome - Outcome type,Outcome details: Example continuous outcome - Reported against,Outcome details: Example continuous outcome - Reported as,Outcome details: Example continuous outcome - Reference arm,Outcome details: Example continuous outcome - Outcome group,Outcome details: Example continuous outcome - Reporting,Outcome details: Example continuous outcome - Range,Outcome details: Example continuous outcome - Unit of measure,Outcome details: Example continuous outcome - Timepoints,Outcome details: Example continuous outcome (End of study) Reported time,Outcome details: Example continuous outcome - Notes,Result data: Example continuous outcome (End of study) SD,Result data: Example continuous outcome (End of study) median,Result data: Example continuous outcome (End of study) SMD,Outcome details: Example dichotomous outcome - Reported name,Outcome details: Example dichotomous outcome - Outcome type,Outcome details: Example dichotomous outcome - Reported against,Outcome details: Example dichotomous outcome - Reported as,Outcome details: Example dichotomous outcome - Reference arm,Outcome details: Example dichotomous outcome - Outcome group,Outcome details: Example dichotomous outcome - Reporting,Outcome details: Example dichotomous outcome - Range,Outcome details: Example dichotomous outcome - Unit of measure,Outcome details: Example dichotomous outcome - Timepoints,Outcome details: Example dichotomous outcome (End of study) Reported time,Outcome details: Example dichotomous outcome - Notes,Result data: Example dichotomous outcome (End of study) Events,Result data: Example dichotomous outcome (End of study) Total,Outcome details: REE Results (idk) - Reported name,Outcome details: REE Results (idk) - Outcome type,Outcome details: REE Results (idk) - Reported against,Outcome details: REE Results (idk) - Reported as,Outcome details: REE Results (idk) - Reference arm,Outcome details: REE Results (idk) - Outcome group,Outcome details: REE Results (idk) - Reporting,Outcome details: REE Results (idk) - Range,Outcome details: REE Results (idk) - Unit of measure,Outcome details: REE Results (idk) - Timepoints,Outcome details: REE Results (idk) (Hydrometal) Reported time,Outcome details: REE Results (idk) (Pyrometal) Reported time,Outcome details: REE Results (idk) - Notes,Result data: REE Results (idk) (Hydrometal) Themes,Result data: REE Results (idk) (Hydrometal) Quote,Result data: REE Results (idk) (Hydrometal) Specific Feedstock,Result data: REE Results (idk) (Pyrometal) Themes,Result data: REE Results (idk) (Pyrometal) Quote,Result data: REE Results (idk) (Pyrometal) Specific Feedstock,Outcome details: Circular Economy - Reported name,Outcome details: Circular Economy - Outcome type,Outcome details: Circular Economy - Reported against,Outcome details: Circular Economy - Reported as,Outcome details: Circular Economy - Reference arm,Outcome details: Circular Economy - Outcome group,Outcome details: Circular Economy - Reporting,Outcome details: Circular Economy - Range,Outcome details: Circular Economy - Unit of measure,Outcome details: Circular Economy - Timepoints,Outcome details: Circular Economy (End of study) Reported time,Outcome details: Circular Economy - Notes,Result data: Circular Economy (End of study) Total,Result data: Circular Economy (End of study) Reuse
Akahori 2017,Optimum conditions for extracting rare earth metals from waste magnets by using molten magnesium,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Trisnawati 2020,Sulfuric Acid Leaching of Heavy Rare Earth Elements (HREEs) from Indonesian Zircon Tailing,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Pan 2022,The effect of calcination on the occurrence and leaching of rare earth elements in coal refuse,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wang 2017,Kinetics study on the leaching of rare earth and aluminum from FCC catalyst waste slag using hydrochloric acid,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Pan 2022,"The Discrepancy between Coal Ash from Muffle, Circulating Fluidized Bed (CFB), and Pulverized Coal (PC) Furnaces, with a Focus on the Recovery of Iron and Rare Earth Elements",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Azimi 2023,Technoeconomic analysis of supercritical fluid extraction process for recycling rare earth elements from neodymium iron boron magnets and fluorescent lamp phosphors,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Medina-Díaz 2024,Can rare earth elements be recovered from abandoned mine tailings by means of electrokinetic-assisted phytoextraction?,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhang 2022,"Urban mining of terbium, europium, and yttrium from real fluorescent lamp waste using supercritical fluid extraction: Process development and mechanistic investigation",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2025,Process evaluation for the recovery of rare earth from bastnaesite using ferric sulfate bio acid,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Shukla 2021,Microwave acid baking process for recovery of rare-earth concentrate from phosphor of end-of-life fluorescent lamps,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lima 2022,Rare Earth Elements Partition and Recovery during Electrodialytic Treatment of Coal Fly Ash,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Shi 2024,"Synchronous extraction of Pt, Zr and Ce from spent catalysts via SoG-Si scraps melting collection by regulating Si reduction based on a new fluorine-containing slag",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wang 2025,The Distribution of Rare Earth Elements in Coal Fly Ash Determined by LA-ICP-MS and Implications for Its Economic Significance,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Xu 2020,Effective rare earth extraction from Nd-Fe-B waste by liquid cuprum extraction method,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tunsu 2016,Selective separation of yttrium and europium using Cyanex 572 for applications in fluorescent lamp waste processing,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wen 2025,Rare earth element (REE) speciation in municipal solid waste incineration ash,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Qiu 2019,Economic feasibility of recycling rare earth oxides from end-of-life lighting technologies,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wang 2024,Mechanisms of roasting for improving rare earth element leaching from coal gangue,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Schrijvers 2021,“Allocation at the point of substitution” applied to recycled rare earth elements: what can we learn?,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ba 2020,Challenging pollution and the balance problem from rare earth extraction: How recycling and environmental taxation matter,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Yoon 2015,Recovery process development for the rare earths from permanent magnet scraps leach liquors,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhu 2023,Supercritical carbon dioxide/nitrogen/air extraction with multistage stripping enables selective recovery of rare earth elements from coal fly ashes,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tunsu 2018,Perspectives for the recovery of critical elements from future energy-efficient refrigeration materials,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Vargas 2021,"Green separation of lanthanum, cerium and nickel from waste nickel metal hydride battery",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wu 2023,Selective extraction and separation of REEs from NdFeB magnets scrap using co-chlorination and water leaching,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Bonoli 2021,Valorization of rare earth elements from end-of-life fluorescent lamps: A contribution to urban mining,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lai 2024,Rare earth recycling and remanufacturing: Impacts on oligopoly markets and industry development from a closed-loop supply chain perspective,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Nkinahamira 2022,A closed-loop system to recycle rare earth elements from industrial sludge using green leaching agents and porous β-cyclodextrin polymer composite,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ray 2025,Leaching of rare earth elements from phosphogypsum via citric acid medium: optimization through central composite design and kinetics studies,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2020,Comparison of Different Leaching Media and Their Effect on REEs Recovery from Spent Nd-Fe-B Magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Xu 2020,A facile method for the simultaneous recovery of rare-earth elements and transition metals from Nd-Fe-B magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tunsu 2016,A hydrometallurgical process for the recovery of rare earth elements from fluorescent lamp waste fractions,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Nlebedim 2018,Addressing Criticality in Rare Earth Elements via Permanent Magnets Recycling,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Yang 2023,Recovery of rare earth elements from mine wastewater using biosynthesized reduced graphene oxide,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Uysal 2023,"Hydrometallurgical recycling of waste NdFeB magnets: design of experiment, optimisation of low concentrations of sulphuric acid leaching and process analysis",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Simsek 2022,Sustainable Planning of Precious and Rare Elements’ Recycling from Waste Electronic Products: a Multi-objective Model and Application,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lie 2021,Process intensification for valuable metals leaching from spent NiMH batteries,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Jin 2020,Life cycle assessment of emerging technologies on value recovery from hard disk drives,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tian 2019,Recovering REEs from NdFeB wastes with high purity and efficiency by leaching and selective precipitation process with modified agents,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Saratale 2020,Hydrometallurgical process for the recovery of yttrium from spent fluorescent lamp: Leaching and crystallization experiments,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Mishra 2023,Short-Loop Recycling of Nd-Fe-B Permanent Magnets: A Sustainable Solution for the RE2Fe14B Matrix Phase Recovery,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhang 2025,Study on the Extraction of Rare Earth Elements (REEs) from Phosphogypsum Using Gluconobacter oxydans Culture Solution,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Xiao 2024,Anthropogenic cycles of praseodymium in China: 2000–2020,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Li 2022,Selective extraction of rare earth elements from red mud using oxalic and sulfuric acids,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Narayanan 2018,Cost Analysis as a Tool for the Development of Sc Recovery Processes from Bauxite Residue (Red Mud),Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Maina 2024,Sulfuric Acid Leaching Recovery of Rare Earth Elements from Wizów’s Phosphogypsum in Poland,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wei 2024,Novel nitrogen-rich hydrogel adsorbent for selective extraction of rare earth elements from wastewater,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lorenz 2017,Recycling of rare earth elements,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2017,Integrated Process to Recover NiMH Battery Anode Alloy with Selective Leaching and Multistage Extraction,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kulczycka 2016,Evaluation of the recovery of Rare Earth Elements (REE) from phosphogypsum waste - Case study of the WIZÓW Chemical Plant (Poland),Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kozyrev 2022,Principles of rational processing of red mud with the use of carboxylic acids,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Tunsu 2016,"Targeting fluorescent lamp waste for the recovery of cerium, lanthanum, europium, gadolinium, terbium and yttrium",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
